title_link,date,author_link,author,title,abstract,school
https://pureportal.coventry.ac.uk/en/publications/battery-optimal-sizing-under-a-synergistic-framework-with-dqn-bas,21 Apr 2021,"https://pureportal.coventry.ac.uk/en/persons/qingqing-yang,https://pureportal.coventry.ac.uk/en/persons/petar-igic","Qingqing Yang,Petar Igic",Battery Optimal Sizing under a Synergistic Framework with DQN Based Power Managements for the Fuel Cell Hybrid Powertrain,"This paper proposes a synergistic approach that traverses the battery optimal size simultaneously against the optimal power management based on deep reinforcement learning (DRL). A fuel cell hybrid electric vehicle (FC-HEV) with the fuel cell/battery hybrid powertrain is used as the study case. The battery plays a key role in current transportation electrification, and the optimal sizing of the battery is critical for both system technical performances and economical revenues, especially in the hybrid design. The optimal battery design should coordinate the static sizing study against the dynamic power distribution for a given system, but few works provided the synergistic consideration of the two parts. In this study, the interaction happens in each sizing point with the optimal power sharing between the battery and the FC, aiming at minimizing the summation of hydrogen consumption, FC degradation and battery degradation. Under the proposed framework, the power management is developed with deep Q network (DQN) algorithm, considering multi-objectives that minimizing hydrogen consumption and suppressing system degradation. In the case study, optimal sizing parameters with lowest cost are determined. Leveraged by the optimal size, the hybrid system economy with synergistic approach is improved by 16.0%, comparing with the conventional FC configuration.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/a-new-method-for-semi-supervised-segmentation-of-satellite-images,Mar 2021,https://pureportal.coventry.ac.uk/en/persons/sara-sharifzadeh,Sara Sharifzadeh,A New Method for Semi-Supervised Segmentation of Satellite Images,"Satellite image segmentation is an important topic in many domains. This paper introduces a novel semi-supervised image segmentation method for satellite image segmentation. Unlike the semantic segmentation strategies, this method requires only limited labelled data from small local patches of satellite images. Due to the complexity and large number of land cover objects in satellite images, a fixed-size square window is used for feature extraction from 7 different local areas. The local features are extracted by spectral domain analysis. Then, classification is performed based on similarity of the local features to those of the,7 labelled patches. This also allows efficient selection of the suitable window scale. Furthermore, the labeled features remove the need for iterative clustering for decision making about features. The labelled data also allows learning a subspace of transformed features for segmentation of water and green area based on simple thresholding. Comparison of the segmentation results using the,proposed strategy compared to unsupervised techniques such as k-means clustering and Superpixel-based Fast Fuzzy C-Means Clustering (SFFCM) shows the superiority of the proposed strategy in terms of content-based segmentation.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/a-critical-comparison-on-attitude-estimation-from-gaussian-approx,7 May 2021,https://pureportal.coventry.ac.uk/en/persons/john-arvanitakis,I. Arvanitakis,A critical comparison on attitude estimation: From gaussian approximate filters to coordinate-free dual optimal control,"This paper conveys attitude and rate estimation without rate sensors by performing a critical comparison, validated by extensive simulations. The two dominant approaches to facilitate attitude estimation are based on stochastic and set-membership reasoning. The first one mostly utilizes the commonly known Gaussian-approximate filters, namely the EKF and UKF. Although more conservative, the latter seems to be more promising as it considers the inherent geometric characteristics of the underline compact state space and accounts—from first principles—for large model errors. The set-theoretic approach from a control point of view is addressed, and it is shown that it can overcome reported deficiencies of the Bayesian architectures related to this problem, leading to coordinate-free optimal filters. Lastly, as an example, a modified predictive filter is derived on the tangent bundle of the special orthogonal group (Formula presented.).","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/the-performance-of-various-machine-learning-methods-for-parkinson,27 Feb 2022,https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,Alireza Daneshkhah,The performance of various machine learning methods for Parkinson’s disease recognition: a systematic review,"Parkinson’s disease (PD) is a common neurodegenerative disorder that causes degeneration of dopaminergic neurons in the Nigrostriatal pathway and the discharge of Dopamine in the striatum. Machine learning algorithms have been used as a tool to predict and diagnose diseases. Some of these algorithms got the popularity due to their high recognition performance. In the recognition of PD, studies demonstrated various recognition performances and this systematic review study the performance of machine learning algorithms. This systematic review is based on the cochrane’s proposed seven phases of review. After identifying the question of research and inclusion/exclusion criteria, we searched different related databases (SID, MagIran, PubMed, ProQuest, ScienceDirect, WoS, Scopus, and Google Scholar) with the help of combination of keywords. After selection of the studies we extract information and summarize the results. From 10,980 found-studies, and removing them based on inclusion/exclustion criteria, we selected 82 studies. To diagnose PD, 59 studies used clinical indicators, 2 studies used genetic characteristics, 12 used MRI, two used PET, 5 used SPECT and 2 used Laboratory markers. In most of these studies RF, SVM, LR have performed the best. The accuracies of RF, SVM, and LR are reported between 58.9%-99.42%, 65.2%-99.99%, and 43.9%-96%. The results show that the performance of RF, SVM, and LR are high for PD diagnosis. Therefore, they can be used for PD diagnosis as a help for doctors and specialist.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/access-point-selection-strategies-for-indoor-5g-millimeter-wave-d,27 Apr 2021,https://pureportal.coventry.ac.uk/en/persons/seongki-yoo,Seong Ki Yoo,Access Point Selection Strategies for Indoor 5G Millimeter-Wave Distributed Antenna Systems,"In this paper, we study the use of three candidate Access Point (AP) selection mechanisms for use with indoor millimetre-wave (mmWave) Distributed Antenna Systems (DASs). These are per-sample random AP selection, one-shot AP selection and per-sample optimal AP selection. To facilitate our analysis, we used a customized measurement system operating at 60 GHz, to record the signal power time series simultaneously received at 9 ceiling mounted AP locations while a mobile user imitating a voice call application. Using the time series data, the localized cross correlation coefficient (CCC) was subsequently estimated from the raw received signal strength (RSS) using the Spearman's rank-order correlation. It was found that the resultant time series of the localized CCCs was well-described by the Gaussian distribution across all of the considered measurement scenarios. Moreover, it was observed that the line-of-sight (LOS) and quasi-LOS (QLOS) paths typically led to higher CCC values with broader spreads than the non-LOS (NLOS) scenarios. To study the potential for signal enhancement by using diversity combining in mmWave DASs, we applied selection combining, equal gain combining and maximal ratio combining before investigating the AP selection mechanisms. Finally, we provide some useful insights into the influence of differing AP numbers on the diversity gain when considering the aforementioned AP selection methods.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/detection-of-sleep-apnea-using-machine-learning-algorithms-based-,25 Sep 2021,https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah,Alireza Daneshkhah,Detection of sleep apnea using Machine learning algorithms based on ECG Signals: A comprehensive systematic review,"Sleep apnea (SA) is a common sleep disorder that is not easy to detect. Recent studies have highlighted ECG analysis as an effective method of diagnosing SA. Because the changes caused by SA on the ECG are imperceptible, the need for new methods in diagnosing this disease is required more than ever. Machine Learning (ML) is recognized as one of the most successful methods of computer aided diagnosis. ML uses new methods to diagnose diseases using past clinical results. The purpose of this study is to evaluate studies using ML algorithms based on ECG characteristics to assess people suffering from SA. In this study, systematically-reviewed articles written in English before October 2020 and indexed in PubMed, Scopus, Web of Science, and IEEE databases were searched with no lower time limit. From these articles, 48 were selected for further review. The selected articles adopteddifferent ML methods for classification. All of these studies were binary where SA was detected from the normal state based on a full ECG stripe (per record), or based on one-minute segments (per segment). Our analysis show that the most common features used in the studies were frequency, time series, and statistical features. Support-Vector Machine (SVM) and deep learning-based neural network (i.e. CNN, DNN) performed best in full record data detection. The highest accuracy, sensitivity, and specificity reported among the selected studies were 100%, which was obtained by an SVM. In another study, the classification was conducted based on ECG segments, and accordingly, the highest classification accuracy was observed in the residual neural network algorithm (RNN). The accuracy, sensitivity, and specificity of this algorithm were reported to be 99%. In general, it can be stated that ML techniques based on ECG characteristics have a high capability in diagnosing SA. These techniques can increase the diagnosis of patients with SA or the detection of SA episodes on ECG record, and can potentially prevent complications of the disease at later stages.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/variable-voltage-control-of-a-hybrid-energy-storage-system-for-fi,25 Jan 2022,https://pureportal.coventry.ac.uk/en/persons/qingqing-yang,Qingqing Yang,Variable Voltage Control of a Hybrid Energy Storage System for Firm Frequency Response in the UK,"The National Grid in the UK, proposed the Firm Frequency Response (FFR) documents on recent developments regarding tendering options for active balancing mechanism units, specifically for batteries. However, frequent bipolar converting and instantaneous high power demand challenge battery lifetime and operation cost in the FFR. Combining a battery with a supercapacitor (SC) has several advantages, but the system cost may rise. Targeting at the FFR service, this paper presents a new variable voltage control within a semi-active battery-supercapacitor hybrid scheme. In proposed hybrid energy storage system (HESS), the DC bus voltage is controllable so that to improve the SC use ratio meanwhile reduce converters cost. A power management strategy integrating fuzzy logic with dynamic filtering method is proposed benefiting in broadening the filtering flexibility while reducing battery degradation. In addition, both the long-term simulations and scaled-down experiments are implemented to verify the proposed topology with the control strategy and power management by quantitative comparisons of battery degradations and SC use ratios.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/corrections-to-scaling-in-geometrical-clusters-of-the-2d-ising-mo,29 Mar 2022,"https://pureportal.coventry.ac.uk/en/persons/michail-akritidis,https://pureportal.coventry.ac.uk/en/persons/nikolaos-fytas,https://pureportal.coventry.ac.uk/en/persons/martin-weigel","Michail Akritidis,Nikolaos Fytas,Martin Weigel",Corrections to scaling in geometrical clusters of the 2D Ising model,"We study the scaling of the average cluster size and percolation strength of geometrical clusters for the two-dimensional Ising model. By means of Monte Carlo simulations and a finite-size scaling analysis we discuss the appearance of corrections to scaling for different definitions of cluster sets. We find that including all percolating clusters, or excluding only clusters that percolate in one but not the other direction, leads to smaller corrections to scaling for the average cluster size as compared to the other definitions considered. The percolation strength is less sensitive to the definitions used.","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/the-influence-of-metal-plates-on-quench-protection-of-high-temper,25 Jan 2022,https://pureportal.coventry.ac.uk/en/persons/qingqing-yang,Qingqing Yang,The Influence of Metal Plates on Quench Protection of High Temperature Superconducting Pancake Coils,"Quench has always been an urgent problem for high temperature superconductor (HTS) magnets. Fast discharge of the coil current is an effective method to protect the HTS magnet from quenching. In HTS magnets, metal plates are originally used to provide conduction cooling and mechanical support for the coil. During fast discharging operations, the metal plates can rapidly absorb part of the magnetic energy stored in the HTS coils through electromagnetic coupling. Previous studies are based on copper plates. This paper studies the influence of several promising metal materials on the discharging process of the HTS coils coupled with metal plates by experiments and simulations. The results show that in the explored resistance range, the higher the electrical conductivity of the metal plates, the better the acceleration of the current attenuation of coil at the early stage of discharging process. The effects of different metal plates on accelerating current attenuation of the coil are ranked as follows: SS 304L < Al 6061-T6 < Al (RRR = 30) < Cu (RRR = 30) < Au < Cu (RRR = 300) < Ag. However, Cu (RRR = 300) plates can absorb more energy from the HTS coil than the Ag plates during the discharging process. Copper with higher purity (Cu (RRR = 300)) and silver are promising alternatives for metal plates of HTS magnets. Generally, a fast current drop is always the most effective method for avoiding tape turn-out during a local quench; therefore, silver with the highest electrical conductivity is the best choice in view of quench protection. ","School of Computing, Electronics and Maths"
https://pureportal.coventry.ac.uk/en/publications/new-hybrid-scheme-with-local-battery-energy-storages-and-electric,14 Dec 2021,https://pureportal.coventry.ac.uk/en/persons/qingqing-yang,Qingqing Yang,New hybrid scheme with local battery energy storages and electric vehicles for the power frequency service,"This paper proposes a new hybrid scheme using the EV battery and the local battery as a unit, taking an active part in the grid services. Both electric vehicles and grid-scale battery energy storage have been growing fast in recent years. The active combination of these two kinds of energy sectors is challenging but will unlock extra flexibility at the distribution level. Therefore, the EV battery (EVB) and local battery (LB) are studied in a hybrid scheme for the first time. The scheme delivers an improved optimal power schedule for the fast frequency regulation (FFR) in the microgrid. A hybrid power management strategy based on an improved model predictive control (IMPC) in a microgrid is developed. The IMPC is advanced by adding the battery degradation prediction and EV capacity prediction in the loop and designed for optimal power-sharing with the minimum effect on battery lifetime. The EV battery status, which is critical for both the IMPC and the battery degradation quantification, is predicted by the deep learning approach. The proposed hybrid power management with IMPC is verified to be very effective with optimal power-sharing and battery anti-aging control in the microgrid application.","School of Computing, Electronics and Maths"
